,0
0,farewell s blood s alibi have draw regret truth thousand lie let mercy come wash away have ill face cross have erase let have rest think clean slate hand uncertainty let mercy come wash away have ill face cross have erase let have have start pain come today end be forgive have ill face cross have erase let have na na na na na na na na na have na na na na na na na na na na na na forgive have na na na na na na na na na na na na na na
1,stand wake devastation wait edge unknown cataclysm rain inside cry save impossibly feel cold lose desperation build hope failure have know remember sadness frustration let let burst light blind angel sky blow heaven star feel gravity temper grace fall space catch arm feel cold lose desperation build hope failure have know remember sadness frustration let let feel cold lose desperation build hope failure have know remember sadness frustration let let let let let feel cold lose desperation build hope failure have know remember sadness frustration let let
2,yeah yeah end beginning voice like riot rock revision listen tone violet rhythm word sound steady emptys -PRON- yeah fist fly air like hold s invisible cause live mercy pain fear dead forget let disappear yeah wait end come wish strength stand plan control fly speed light thought spin head thing leave unsaid hard let know take know feel lie wanna trade life new holding not get sit room try forget past mean wish not know take know feel lie wanna trade life new holding not get yeah yeah leave fire go think feel right right wrong catch eye storm try figure like move not know kind thing have say mouth keep move mind go dead pick piece begin hard end start wanna trade life new holding not get end beginning voice like riot rock revision listen tone violet rhythm word sound steady emptys -PRON- yeah fist fly air like hold s invisible cause live mercy pain fear dead forget let disappear
3,remember black sky lightning remember flash time begin blur like startling sign fate finally find voice hear deserve reason prove wrong wash memory clean let flood cross distance eye reason fill hole connect space let reach truth lie new divide sight memory leave abandon hide ashe fall like snow ground cave stand voice hear deserve reason prove wrong wash memory clean let flood cross distance eye new divide loss lie truth d deny regret goodbye mistake great hide voice hear deserve reason prove wrong wash memory clean let flood cross distance eye reason fill hole connect space let reach truth lie new divide new divide new divide
4,tell ya know high voltage not shake shock want stop check high voltage not shake shock want stop check high voltage not shake shock want stop check high voltage not shake shock want stop check have take crate livin space ratrace monkey human trait master numerology bigbang theology perform lobotomy telekinetic psychology invent mic start blessin chincheckin kid point like impressionist man try shake twist mic cord double helix be buckle knee like leg brace cast spell instrumentalness emcee hate try leave shoulder cry infinity let icon bygone fire bomb ghostly note haunt have try threat move promise stomp shit accomplis mixed medium stamp approval high voltage not shake shock want stop check high voltage not shake shock want stop check akira kink backbone clone microphone satisfy rhyme jones sprayin bright day blood type krylon technicolor type highway road rage be patient win cage tin bounce surround sound devour scene subliminal gangrene painting overall thing sing song karaoke copy madness break bone verbally stick stone tactic fourth dimension combat convention write rhyme ease track stand attention attention mean away pencil pistol official line rhyme missile risk pick flaw spin blah blah blah blah see high voltage not shake shock want stop check high voltage not shake shock want stop check high voltage not shake shock want stop check high voltage not shake shock want stop check high voltage not shake shock want stop check high voltage not shake shock want stop check high voltage not shake shock want stop check high voltage not shake shock want stop check
5,ride head body red x stick head mislead thing wanna come attack run trap beau want have get want pen let center day dream see thought get lose realize way sea killing head scream wanna live place live wanna energy enemy place head go to crush fall apart go hollow hope will not know strain put see have consequently have run away hit boundary anguish want drag lose chaos toss singing head hectic hope day will regret everything wrong place wrong time add head be go blind singing head hectic hope day will regret everything wrong place wrong time add head be go blind wanna live place live wanna energy enemy place head try good away try good away try good away try good away try good away try good away try good away try good away wanna live place live wanna energy enemy place head shut singing head hectic hope day will regret everything wrong place wrong time add head be go blind singing head hectic hope day will regret everything wrong place wrong time add head be go blind
6,start thing not know not matter hard try mind design rhyme explain time know time valuable thing watch fly pendulum swing watch count end day clock tick life away unreal not look watch time right window try hold not know waste watch keep inside try fall apart mean eventually memory time try hard get far end not matter fall lose end not matter thing not know not matter hard try mind design rhyme remind try hard spite way mock act like property remember time fight be surprise get far thing not way not recognize anymore know come end keep inside try fall apart mean eventually memory time try hard get far end not matter fall lose end not matter have trust push far s thing know have trust push far s thing know try hard get far end not matter fall lose end not matter
7,know world people laugh people cry people silent remember line hindu scripture bhagavadgita vishnu try persuade prince duty impress take multiarme form say death destroyer world suppose think way j robert oppenheimer
8,stop core have forget middle thought take far safety picture memory will not escape stick place dark hardly manner matter split word breathe rain drip acidic question block sight power duck away darkness time wind rust world eye shut tight blur world pretend eye ease open dark stop core have forget middle thought take far safety picture memory will not escape care memory will find eye burn darkness hold tightly sun rise listen sound dizzy up down be nauseate polluted rock s watchin wheel car pass look past light long shadow cast window grow capture eye cry yellow light pass young shadowy figure sit box inside building rock antenna stop land pain sane lose know game inside change box stay figure inside bear anybodys memory time like paper come someday be hope close eye pretend crumple paper perfect yo stop core have forget middle thought take far safety picture memory will not escape be podium talk ceremonial offering dedicate urban dysfunctional offspring s happen city government eternally nap trap greedy covenant cause urban collapse bullet scar soul dark hold car steal heart blacker charcoal real society deprivation depend difference separation preparation limited aid minimum wage live tenement cage rent not pay tragedy parade darkness overspread like permanent plague be forget memory will find eye burn darkness hold tightly sun rise
9,wake sweat day lay waste disgrace stick head feel like ill leave place s escape be bad enemy have give be sick feeling away be suffocate tell heck wrong not know think focused be scare be prepared hyperventilate look hope care be bad enemy have give be sick feeling away be suffocate tell heck wrong god misery misery misery have give be sick feeling away be suffocate tell heck wrong
10,time operation machine odious make sick heart passively get body gear wheel lever apparatus get stop mario savio save face low talk lot game know static way whoa people push people low obey word steady get hear wanna get absurd fight power get hurt hear let know be shit run gun unload people get outta control everybody steel unload final blow animal control hear clear true wretch king come pace slow talk lot shit know fire way whoa people people low run like attack exactly kick hi hat pen contract pitch contact combat let -PRON- know be shit push button let thing blow spin outta control everybody steel unload final blow animal control hear clear true wretch king come steel unload fire blow filthy animal beat low skin bone black blue sun shall beat fear feel -PRON- real high time operation machine odious make sick heart passively get body gear wheel lever apparatus get stop get indicate people run people free machine prevent work
